title,haiku,haiku2,path
CERTIFIED IT ADMINISTRATOR (LA,"Oversee design
and deployment for the needs
of the agency",Oversee design and deployment for the needs of the agency.,"['oversee', 'design', 'i++', 'and', 'code', 'router', 'switch', '-switch', '-router', '-code', 'deployment', 'for', 'the', 'edge', 'i++', 'technologies', '-technologies', 'i--', '-edge', 'needs', 'i++', 'of', 'the', 'agency', 'i++']"
ASSISTANT HIGHWAY TRANSPORTATI,"Business financial
analysts to assist with
citi bike system",Business financial analysts to assist with citi bike system.,"['business', 'financial', 'i++', 'analysts', 'to', 'assist', 'with', 'i++', 'citi', 'bike', 'system', 'i++']"
SPECIAL CONSULTANT (MENTAL HEA,"Identify and
assess the school mental health
services in schools",Identify and assess the school mental health services in schools.,"['identify', 'and', 'i++', 'recommend', '-recommend', 'assess', 'the', 'school', 'mental', 'health', 'i++', 'providers', 'and', '-and', '-providers', 'services', 'in', 'schools', 'i++']"
SPECIAL CONSULTANT (MENTAL HEA,"Implement special
projects to improve program
performance outcomes",Implement special projects to improve program performance outcomes.,"['implement', 'special', 'i++', 'projects', 'requested', 'by', 'the', 'i++', 'assistant', '-assistant', 'ac', '-ac', 'i--', '-the', '-by', '-requested', 'as', 'determined', 'by', 'i++', 'ac', 'aimed', 'at', '-at', '-aimed', '-ac', 'i--', '-by', '-determined', '-as', 'to', 'improve', 'program', 'i++', 'performance', 'outcomes', 'i++']"
CHILD AND FAMILY SPECIALIST,"Complete a written
assessment of the use of
the spanish language",Complete a written assessment of the use of the spanish language.,"['complete', 'and', 'submit', 'i++', 'form', '-form', 'i--', '-submit', '-and', 'a', 'written', 'i++', 'assessment', 'of', 'the', 'use', 'of', 'i++', 'the', 'spanish', 'language', 'i++']"
CONSTRUCTION PROJECT MANAGER,"Must have served in the
titles of associate
project manager",Must have served in the titles of associate project manager.,"['must', 'have', 'served', 'in', 'the', 'i++', 'titles', 'of', 'associate', 'i++', 'project', 'manager', 'i++']"
CONSTRUCTION PROJECT MANAGER,"Prepare or assist
in the preparation of
incident reports",Prepare or assist in the preparation of incident reports.,"['prepare', 'or', 'assist', 'i++', 'in', 'the', 'timeline', 'established', 'i++', 'in', 'said', 'contract', '-contract', '-said', '-in', 'i--', '-established', '-timeline', 'title', 'of', 'or', 'who', 'i++', 'meet', 'the', '-the', '-meet', 'i--', '-who', '-or', '-of', '-title', 'preparation', 'of', 'i++', 'incident', 'reports', 'i++']"
PUBLIC HEALTH ADVISER,"Locating contacts
and suspects and refer for
exam and treatment",Locating contacts and suspects and refer for exam and treatment.,"['locating', 'contacts', 'i++', 'and', 'suspects', 'and', 'refer', 'for', 'i++', 'exam', 'and', 'treatment', 'i++']"
ADMIN CONTRACT SPECIALIST (PYR,"Oversee the work
of consultants and contract
management process",Oversee the work of consultants and contract management process.,"['oversee', 'the', 'work', 'i++', 'of', 'consultants', 'and', 'interns', 'i++', 'i--', '-interns', 'contract', 'i++', 'management', 'process', 'i++']"
ADMIN CONTRACT SPECIALIST (PYR,"Track data for the
training and development
of contracts each year",Track data for the training and development of contracts each year.,"['track', 'data', 'for', 'the', 'i++', 'training', 'and', 'technical', '-technical', 'development', 'i++', 'of', 'contracts', 'each', 'year', 'i++']"
ADMIN CONTRACT SPECIALIST (PYR,"The ability
to read and interpret laws
rules and policies",The ability to read and interpret laws rules and policies.,"['the', 'ability', 'i++', 'to', 'read', 'and', 'interpret', 'laws', 'i++', 'rules', 'and', 'policies', 'i++']"
ADMIN CONTRACT SPECIALIST (PYR,"The incumbent will
have broad latitude for the
bureau of planning",The incumbent will have broad latitude for the bureau of planning.,"['the', 'incumbent', 'will', 'i++', 'prepare', 'reports', 'and', '-and', '-reports', '-prepare', 'have', 'broad', 'latitude', 'for', 'the', 'i++', 'exercise', 'of', '-of', '-exercise', 'bureau', 'of', 'planning', 'i++']"
ADMIN CONTRACT SPECIALIST (PYR,"Ensure timely close
out of contracts and contract
management process",Ensure timely close out of contracts and contract management process.,"['ensure', 'bureau', '-bureau', 'timely', 'close', 'i++', 'out', 'of', 'contracts', 'each', 'year', '-year', '-each', 'and', 'produce', 'i++', 'in', 'a', 'fast', 'paced', '-paced', '-fast', 'timely', '-timely', '-a', '-in', 'the', 'required', '-required', '-the', 'i--', '-produce', 'contract', 'i++', 'management', 'process', 'i++']"
SCIENTIST (WATER ECOLOGY),"License valid in
the division of water
quality testing",License valid in the division of water quality testing.,"['license', 'valid', 'in', 'i++', 'the', 'division', 'of', 'water', 'i++', 'quality', 'testing', 'i++']"
SCIENTIST (WATER ECOLOGY),"The candidate may
also assist in water
quality sensors",The candidate may also assist in water quality sensors.,"['the', 'candidate', 'may', 'i++', 'also', 'assist', 'in', 'water', 'i++', 'quality', 'sensors', 'i++']"
SCIENTIST (WATER ECOLOGY),"The candidate may
also assist in water
quality testing",The candidate may also assist in water quality testing.,"['the', 'objective', 'of', 'i++', 'reducing', '-reducing', 'i--', '-of', '-objective', 'candidate', 'may', 'i++', 'also', 'assist', 'in', 'water', 'i++', 'quality', 'testing', 'i++']"
AGENCY CHIEF CONTRACTING OFFIC,"Under direction
direct all procurement and
budgeting systems",Under direction direct all procurement and budgeting systems.,"['under', 'direction', 'i++', 'direct', 'all', 'procurement', 'and', 'i++', 'contracting', '-contracting', 'contract', 'award', '-award', '-contract', 'budgeting', 'systems', 'i++']"
PRINCIPAL ADMINISTRATIVE ASSOC,"The integrity
and coordination of
the tax lien unit",The integrity and coordination of the tax lien unit.,"['the', 'integrity', 'i++', 'and', 'coordination', 'of', 'i++', 'the', 'existing', '-existing', 'program', 'has', '-has', '-program', 'tax', 'lien', 'unit', 'i++']"
PRINCIPAL ADMINISTRATIVE ASSOC,"Prepare wage reviews
organization charts and
other documents",Prepare wage reviews organization charts and other documents.,"['prepare', 'wage', 'reviews', 'i++', 'organization', 'charts', 'and', 'i++', 'other', 'event', '-event', 'documents', 'i++']"
PRINCIPAL ADMINISTRATIVE ASSOC,,Coordinating meetings and conference calls and inquiries.,"['coordinating', 'i++', 'meetings', 'and', 'conference', 'calls', 'i++', 'and', 'inquiries', 'i++']"
PRINCIPAL ADMINISTRATIVE ASSOC,"Familiar with the
executive director
and initiatives",Familiar with the executive director and initiatives.,"['familiar', 'with', 'the', 'i++', 'cashiers', 'and', 'customer', '-customer', '-and', '-cashiers', 'executive', 'director', 'i++', 'and', 'initiatives', 'i++']"
PRINCIPAL ADMINISTRATIVE ASSOC,"Handling matters of
a program that will be part
of race to justice",Handling matters of a program that will be part of race to justice.,"['handling', 'matters', 'of', 'i++', 'a', 'program', 'that', 'will', 'be', 'part', 'i++', 'of', 'race', 'to', 'justice', 'i++']"
PRINCIPAL ADMINISTRATIVE ASSOC,"Process reviews as
required by the new job
posting notices",Process reviews as required by the new job posting notices.,"['process', 'and', 'propose', 'i++', 'improvements', '-improvements', 'i--', '-propose', '-and', 'dozens', 'of', 'i++', 'i--', '-of', '-dozens', 'reviews', 'as', 'i++', 'required', 'by', 'the', 'new', 'york', 'i++', 'city', 'buildings', '-buildings', '-city', 'i--', '-york', 'job', 'i++', 'posting', 'notices', 'i++']"
PRINCIPAL ADMINISTRATIVE ASSOC,"Assists in ad-hoc
projects as assigned by the
director of site",Assists in ad-hoc projects as assigned by the director of site.,"['assists', 'the', '-the', 'in', 'ad-hoc', 'i++', 'projects', 'as', 'assigned', 'by', 'the', 'i++', 'client', 'and', '-and', '-client', 'director', 'of', 'site', 'i++']"
PRINCIPAL ADMINISTRATIVE ASSOC,"Provide training and
job placement providers for
the division staff",Provide training and job placement providers for the division staff.,"['provide', 'client', '-client', 'training', 'and', 'i++', 'capacity', 'building', 'team', 'i++', 'i--', '-team', '-building', 'to', '-to', '-capacity', 'job', 'placement', 'providers', 'for', 'i++', 'the', 'division', 'staff', 'i++']"
PRINCIPAL ADMINISTRATIVE ASSOC,"Strong working knowledge
of microsoft word excel
power point outlook",Strong working knowledge of Microsoft Word Excel Power Point Outlook.,"['strong', 'working', 'knowledge', 'i++', 'of', 'microsoft', 'word', 'and', '-and', 'excel', 'i++', 'and', 'power', 'point', '-point', '-power', 'word', 'and', '-and', '-word', 'the', 'payroll', '-payroll', '-the', '-and', 'access', 'and', 'ms', '-ms', '-and', '-access', 'power', 'point', 'outlook', 'i++']"
PRINCIPAL ADMINISTRATIVE ASSOC,"Coordinate the
day to day activities
of the five boroughs",Coordinate the day to day activities of the five boroughs.,"['coordinate', 'the', 'i++', 'day', 'to', 'day', 'activities', 'i++', 'of', 'the', 'business', '-business', 'five', 'boroughs', 'i++']"
ASSOCIATE STAFF ANALYST,"Proficiency in
the development of the
capital budget",Proficiency in the development of the capital budget.,"['proficiency', 'in', 'i++', 'the', 'development', 'of', 'the', 'i++', 'entire', 'job', '-job', '-entire', 'i--', '-the', 'a', 'i++', 'new', 'it', 'platform', '-platform', '-it', 'cycling', '-cycling', '-new', 'i--', '-a', 'the', 'i++', 'capital', 'budget', 'i++']"
ASSOCIATE STAFF ANALYST,"Maintain various
spreadsheet reports to ensure
contract compliance",Maintain various spreadsheet reports to ensure contract compliance.,"['maintain', 'various', 'i++', 'spreadsheet', 'reports', 'to', 'ensure', 'i++', 'appropriate', '-appropriate', 'that', 'the', 'broader', '-broader', '-the', 'applicants', '-applicants', '-that', 'contract', 'compliance', 'i++']"
ASSOCIATE STAFF ANALYST,"Strategically plan
the administration of
civil service lists",Strategically plan the administration of civil service lists.,"['strategically', 'plan', 'i++', 'the', 'administration', 'of', 'i++', 'civil', 'service', 'lists', 'i++']"
ASSOCIATE STAFF ANALYST,"Reporting to meet
the needs of the recruitment
officer duties",Reporting to meet the needs of the recruitment officer duties.,"['reporting', 'to', 'the', 'i++', 'director', 'in', 'his', 'or', 'her', 'i++', 'absence', '-absence', 'i--', '-her', '-or', '-his', '-in', 'fiscal', '-fiscal', '-director', 'i--', '-the', 'meet', 'i++', 'program', 'and', 'funding', '-funding', '-and', '-program', 'fiscal', 'deadlines', 'and', 'coach', '-coach', '-and', '-deadlines', '-fiscal', 'program', 'and', 'unit', '-unit', '-and', '-program', 'i--', '-meet', 'the', 'i++', 'fiscal', 'management', 'unit', 'i++', 'i--', '-unit', '-management', '-fiscal', 'i--', '-the', 'meet', 'i++', 'the', 'needs', 'of', 'the', 'recruitment', 'i++', 'officer', 'duties', 'i++']"
COMPUTER OPERATIONS MANAGER (S,"Able to manage
up and manage issues through
to resolution",Able to manage up and manage issues through to resolution.,"['able', 'to', 'manage', 'i++', 'up', 'and', 'manage', 'peers', '-peers', 'issues', 'through', 'i++', 'to', 'resolution', 'i++']"
ADMINISTRATIVE PUBLIC HEALTH N,"Knowledge of health and
safety to identify
and recruit nurses",Knowledge of health and safety to identify and recruit nurses.,"['knowledge', 'of', 'health', 'and', 'i++', 'mental', 'hygiene', 'is', 'one', 'of', 'i++', 'the', 'director', '-director', 'agency', '-agency', '-the', 'i--', '-of', '-one', '-is', '-hygiene', '-mental', 'safety', 'to', 'identify', 'i++', 'and', 'recruit', 'nurses', 'i++']"
RESEARCH PROJECTS COORDINATOR,,Familiarity with rules and directives of city agencies.,"['familiarity', 'i++', 'with', 'financial', 'management', 'i++', 'system', '-system', 'i--', '-management', '-financial', 'rules', 'and', 'directives', 'of', 'i++', 'city', 'agencies', 'i++']"
STAFF ANALYST TRAINEE,"Ability to
monitor fundamental
key indicators",Ability to monitor fundamental key indicators.,"['ability', 'to', 'i++', 'monitor', 'fundamental', 'i++', 'key', 'indicators', 'i++']"
STAFF ANALYST,"Preference given
to candidates who possess
knowledge of new needs",Preference given to candidates who possess knowledge of new needs.,"['preference', 'given', 'i++', 'to', 'candidates', 'who', 'possess', 'i++', 'knowledge', 'of', 'the', '-the', 'new', 'needs', 'i++']"
STAFF ANALYST,"Develop work plans
and conceptual plans and
timelines for projects",Develop work plans and conceptual plans and timelines for projects.,"['develop', 'such', '-such', 'work', 'plans', 'i++', 'and', 'conceptual', 'plans', 'and', 'i++', 'timelines', 'for', 'projects', 'i++']"
STAFF ANALYST,"Experience with
the division of budget
modifications",Experience with the division of budget modifications.,"['experience', 'with', 'i++', 'the', 'worst', 'health', 'outcomes', 'that', 'can', 'i++', 'be', 'traced', 'to', '-to', '-traced', '-be', 'i--', '-can', '-that', '-outcomes', '-health', '-worst', 'division', 'of', 'budget', 'i++', 'modifications', 'i++']"
STAFF ANALYST,"Proficiency in
ms excel and the payroll
management system",Proficiency in ms Excel and the payroll management system.,"['proficiency', 'in', 'i++', 'ms', 'excel', 'and', 'word', '-word', 'the', 'payroll', 'i++', 'management', 'system', 'i++']"
STAFF ANALYST,"Candidates should have
working knowledge of new or
revised procedures",Candidates should have working knowledge of new or revised procedures.,"['candidates', 'should', 'have', 'i++', 'working', 'knowledge', 'of', 'the', 'pats', 'i++', 'system', '-system', 'i--', '-pats', '-the', 'new', 'or', 'i++', 'revised', 'procedures', 'i++']"
HOUSING DEVELOPMENT SPECIALIST,"Assist in project
management duties for a
range of work units",Assist in project management duties for a range of work units.,"['assist', 'program', '-program', 'in', 'project', 'i++', 'management', 'duties', 'for', 'a', 'i++', 'new', 'qualified', '-qualified', '-new', 'range', 'of', 'work', 'units', 'i++']"
HOUSING DEVELOPMENT SPECIALIST,"Experience with
housing finance and or tax
benefits as well",Experience with housing finance and or tax benefits as well.,"['experience', 'with', 'i++', 'housing', 'finance', 'and', 'real', '-real', 'or', 'the', 'i++', 'deed', '-deed', 'i--', '-the', 'tax', 'i++', 'exemptions', 'are', '-are', '-exemptions', 'benefits', 'as', 'well', 'i++']"
HOUSING DEVELOPMENT SPECIALIST,"Facility with
microsoft word excel and
word is required",Facility with Microsoft Word Excel and Word is required.,"['facility', 'with', 'i++', 'microsoft', 'word', 'excel', 'and', 'i++', 'word', 'is', 'required', 'i++']"
ASSOCIATE HOUSING DEVELOPMENT,"Under direction
of the homeowner mortgage
servicing unit",Under direction of the homeowner mortgage servicing unit.,"['under', 'direction', 'i++', 'of', 'the', 'assistant', '-assistant', 'office', 'of', '-of', '-office', 'real', 'estate', '-estate', '-real', 'homeowner', 'mortgage', 'i++', 'servicing', 'unit', 'i++']"
CAPTAIN (SLUDGE BOAT),"Assign duties and
prepare them for assumption
of higher duties",Assign duties and prepare them for assumption of higher duties.,"['assign', 'duties', 'and', 'i++', 'prepare', 'them', 'for', 'assumption', 'i++', 'of', 'higher', 'duties', 'i++']"
ASSISTANT URBAN DESIGNER,"Assisting in the
land use policies and make
recommendations",Assisting in the land use policies and make recommendations.,"['assisting', 'in', 'the', 'i++', 'land', 'use', 'review', 'process', 'and', 'i++', 'procedures', '-procedures', 'i--', '-and', '-process', 'procedure', 'i++', 'i--', '-procedure', '-review', 'applications', 'and', 'i++', 'providing', '-providing', 'i--', '-and', '-applications', 'policies', 'and', 'make', 'i++', 'recommendations', 'i++']"
ASSISTANT URBAN DESIGNER,"Experience in
managing projects and land
use applications",Experience in managing projects and land use applications.,"['experience', 'in', 'i++', 'community', '-community', 'managing', 'projects', 'and', 'or', 'i++', 'studies', '-studies', 'i--', '-or', 'land', 'i++', 'use', 'applications', 'i++']"
ASSISTANT URBAN DESIGNER,"Knowledge of one or
more community boards and
public agencies",Knowledge of one or more community boards and public agencies.,"['knowledge', 'of', 'one', 'or', 'i++', 'more', 'community', 'boards', 'and', 'i++', 'the', 'country', '-country', 'public', 'in', '-in', '-public', 'country', '-country', '-the', 'public', 'agencies', 'i++']"
ASSISTANT URBAN DESIGNER,"Assisting in the
land use and zoning studies
and other projects",Assisting in the land use and zoning studies and other projects.,"['assisting', 'in', 'the', 'i++', 'planning', 'organizing', 'and', 'i++', 'preparing', '-preparing', 'undertaking', '-undertaking', 'i--', '-and', '-organizing', '-planning', 'land', 'use', 'and', 'zoning', 'studies', 'i++', 'and', 'other', 'projects', 'i++']"
ASSISTANT URBAN DESIGNER,"The ability
to complete assignments in
a timely fashion",The ability to complete assignments in a timely fashion.,"['the', 'agency', 'the', 'i++', 'department', 'of', 'city', '-city', '-of', '-department', 'i--', '-the', '-agency', 'ability', 'i++', 'to', 'complete', 'tasks', 'in', 'a', 'team', 'i++', 'structure', 'to', '-to', '-structure', 'i--', '-team', '-a', '-in', '-tasks', 'assignments', 'in', 'i++', 'a', 'timely', 'fashion', 'i++']"
ASSISTANT URBAN DESIGNER,"Review of land use
applications relating
to the agency",Review of land use applications relating to the agency.,"['review', 'of', 'land', 'use', 'i++', 'applications', 'relating', 'i++', 'to', 'the', 'more', '-more', 'agency', 'i++']"
ADMINISTRATIVE PROJECT MANAGER,"The director will
manage the development
and simulations",The director will manage the development and simulations.,"['the', 'director', 'of', 'i++', 'contract', 'drawings', 'against', '-against', '-drawings', '-contract', 'capital', 'and', '-and', '-capital', 'the', 'city', 'and', 'more', 'than', '-than', '-more', '-and', 'agency', 'that', 'i++', 'conveys', 'and', 'treats', '-treats', '-and', '-conveys', 'builds', 'and', 'cares', 'for', '-for', '-cares', '-and', '-builds', 'conveys', 'and', 'treats', '-treats', '-and', '-conveys', 'i--', '-that', '-agency', '-city', '-the', 'i--', '-of', 'will', 'i++', 'manage', 'the', 'development', 'i++', 'and', 'simulations', 'i++']"
ADMINISTRATIVE PROJECT MANAGER,"Perform high level
conceptual designs for
capital projects",Perform high level conceptual designs for capital projects.,"['perform', 'highly', '-highly', 'high', 'level', 'i++', 'conceptual', 'designs', 'for', 'i++', 'capital', 'projects', 'i++']"
ADMINISTRATIVE PROJECT MANAGER,"Examining and
reviewing change orders and
withholding payment",Examining and reviewing change orders and withholding payment.,"['examining', 'and', 'i++', 'reviewing', 'change', 'orders', 'to', 'i++', 'active', 'bureau', '-bureau', '-active', 'i--', '-to', 'and', 'i++', 'withholding', 'payment', 'i++']"
ADMINISTRATIVE PROJECT MANAGER,"Make certain you meet
the needs of the bureau and
the market broadly",Make certain you meet the needs of the bureau and the market broadly.,"['make', 'certain', 'you', 'meet', 'i++', 'the', 'needs', 'of', 'the', 'bureau', 'of', 'i++', 'engineering', '-engineering', 'wastewater', 'per', '-per', '-wastewater', 'engineering', '-engineering', 'i--', '-of', 'to', 'i++', 'transition', 'to', '-to', '-transition', 'i--', '-to', 'and', 'i++', 'for', 'response', 'to', '-to', '-response', '-for', 'the', 'market', 'broadly', 'i++']"
ADMINISTRATIVE PROJECT MANAGER,"Monitor budget
and scheduling management
for facilities",Monitor budget and scheduling management for facilities.,"['monitor', 'the', '-the', 'budget', 'i++', 'and', 'scheduling', 'teams', 'of', '-of', '-teams', 'management', 'i++', 'for', 'facilities', 'i++']"
ADMINISTRATIVE PROJECT MANAGER,"The director will
manage the capital needs
of the program needs",The director will manage the capital needs of the program needs.,"['the', 'director', 'will', 'i++', 'direct', 'a', 'team', 'of', 'field', 'staff', 'i++', 'provide', '-provide', 'to', 'develop', '-develop', '-to', 'role', '-role', 'i--', '-staff', '-field', '-of', '-team', '-a', '-direct', 'i--', '-will', 'the', 'i++', 'selected', 'candidates', 'will', 'i++', 'need', 'to', 'be', 'used', '-used', '-be', '-to', '-need', 'perform', 'complex', '-complex', '-perform', 'i--', '-will', '-candidates', 'candidate', 'will', 'i++', 'be', 'working', '-working', '-be', 'i--', '-will', '-candidate', 'candidates', 'will', 'i++', 'need', 'to', 'be', 'part', '-part', '-be', '-to', '-need', 'i--', '-will', 'should', 'i++', 'also', 'possess', '-possess', '-also', 'i--', '-should', '-candidates', '-selected', 'successful', 'registration', 'i++', 'of', 'all', 'public', '-public', '-all', '-of', 'i--', '-registration', '-successful', 'selected', 'candidate', 'will', 'i++', 'be', 'tasked', 'with', '-with', '-tasked', '-be', 'i--', '-will', '-candidate', '-selected', 'successful', 'candidate', 'is', 'i++', 'a', 'natural', '-natural', '-a', 'i--', '-is', '-candidate', '-successful', 'i--', '-the', 'will', 'i++', 'introduce', 'and', 'apply', 'the', 'i++', 'most', 'critical', '-critical', '-most', 'i--', '-the', '-apply', '-and', '-introduce', 'serve', 'as', 'the', 'agency', 'chief', 'i++', 'contracting', '-contracting', 'i--', '-chief', '-agency', '-the', '-as', '-serve', 'manage', 'the', 'capital', 'needs', 'i++', 'of', 'the', 'program', 'needs', 'i++']"
LANDSCAPE ARCHITECT,"Investigate and
recommend solutions to
project locations",Investigate and recommend solutions to project locations.,"['investigate', 'and', 'i++', 'recommend', 'solutions', 'to', 'i++', 'project', 'locations', 'i++']"
LANDSCAPE ARCHITECT,"Lead designer for
landscape architectural
and other software",Lead designer for landscape architectural and other software.,"['lead', 'or', '-or', 'designer', 'for', 'i++', 'landscape', 'architectural', 'i++', 'design', 'contracts', '-contracts', '-design', 'projects', 'by', '-by', '-projects', 'and', 'other', 'software', 'i++']"
ASSISTANT CIVIL ENGINEER,"Responsible for
the agency over the
phone or at meetings",Responsible for the agency over the phone or at meetings.,"['responsible', 'for', 'i++', 'assisting', 'with', 'capital', 'i++', 'planning', 'and', '-and', '-planning', 'i--', '-capital', '-with', '-assisting', 'reviewing', 'project', '-project', '-reviewing', 'i--', '-for', 'to', 'i++', 'perform', 'tasks', 'with', 'minimum', 'i++', 'direction', 'and', '-and', '-direction', 'i--', '-minimum', '-with', '-tasks', '-perform', 'i--', '-to', 'for', 'i++', 'the', 'design', 'engineer', 'the', 'i++', 'selected', '-selected', 'i--', '-the', '-engineer', '-design', 'agency', 'over', 'the', 'i++', 'phone', 'or', 'at', 'meetings', 'i++']"
ASSISTANT CIVIL ENGINEER,"Responsible for
the division of water
and sewer systems",Responsible for the division of water and sewer systems.,"['responsible', 'for', 'i++', 'the', 'division', 'of', 'water', 'i++', 'and', 'sewer', 'systems', 'i++']"
ASSISTANT CIVIL ENGINEER,"Properly and in
compliance with local state
and federal codes",ProPerly and in compliance with local state and federal codes.,"['properly', 'and', 'in', 'i++', 'writing', 'and', 'reviewing', '-reviewing', '-and', '-writing', 'compliance', 'with', 'local', 'state', 'i++', 'and', 'local', 'state', '-state', '-local', 'federal', 'codes', 'i++']"
ASSISTANT CIVIL ENGINEER,"The preparation
of construction related
and safety programs",The preparation of construction related and safety programs.,"['the', 'agency', '-agency', 'preparation', 'i++', 'of', 'construction', 'documents', 'i++', 'including', '-including', 'i--', '-documents', 'related', 'i++', 'and', 'safety', 'programs', 'i++']"
ASSISTANT CIVIL ENGINEER,"Attend job meetings
review design drawings and
specifications",Attend job meetings review design drawings and specifications.,"['attend', 'various', 'i++', 'construction', 'meetings', '-meetings', '-construction', 'i--', '-various', 'job', 'meetings', 'i++', 'review', 'design', 'drawings', 'and', 'i++', 'specifications', 'i++']"
COMMUNITY SERVICE AIDE,"Greeting clients and
members of the credible
messenger mentors",Greeting clients and members of the credible messenger mentors.,"['greeting', 'clients', 'and', 'i++', 'members', 'of', 'the', 'credible', 'i++', 'messenger', 'mentors', 'i++']"
EXECUTIVE ASSISTANT (TAXI & LI,"Senior management
is a committed partner
of the senior staff",Senior management is a committed partner of the senior staff.,"['senior', 'management', 'i++', 'is', 'a', 'committed', 'partner', 'i++', 'of', 'the', 'senior', 'staff', 'i++']"
EXECUTIVE ASSISTANT (TAXI & LI,"The commissioner
and senior management is
a dynamic team",The commissioner and senior management is a dynamic team.,"['the', 'commissioner', 'i++', 'and', 'senior', 'management', 'is', 'i++', 'a', 'dynamic', 'team', 'i++']"
ASSOCIATE PROJECT MANAGER,"Experience in
construction and construction
industry standards",Experience in construction and construction industry standards.,"['experience', 'in', 'i++', 'engineering', 'and', 'all', '-all', '-and', '-engineering', 'construction', 'and', 'construction', 'i++', 'of', 'all', 'of', 'its', '-its', '-of', 'project', '-project', '-all', '-of', 'industry', 'standards', 'i++']"
ASSOCIATE PROJECT MANAGER,"Tasks including but
not limited to the use
of the watershed",Tasks including but not limited to the use of the watershed.,"['tasks', 'will', 'involve', '-involve', 'include', '-include', '-will', 'including', 'but', 'i++', 'not', 'limited', 'to', 'review', 'i++', 'of', 'technical', '-technical', '-of', 'and', 'analyze', '-analyze', '-and', 'i--', '-review', 'the', 'use', 'i++', 'of', 'the', 'watershed', 'i++']"
ASSOCIATE PROJECT MANAGER,"Ensure compliance
with the review and approve
construction schedules",Ensure compliance with the review and approve construction schedules.,"['ensure', 'compliance', 'i++', 'with', 'the', 'review', 'and', 'approve', 'i++', 'changes', 'in', 'the', '-the', '-in', '-changes', 'complex', 'contract', '-contract', '-complex', 'construction', 'schedules', 'i++']"
ASSOCIATE PROJECT MANAGER,"The supervision
and direction of the work
of subordinates",The supervision and direction of the work of subordinates.,"['the', 'supervision', 'i++', 'and', 'direction', 'of', 'the', 'dams', 'i++', 'and', 'dikes', 'of', 'the', '-the', '-of', '-dikes', '-and', 'i--', '-dams', 'work', 'i++', 'of', 'subordinates', 'i++']"
ASSOCIATE PROJECT MANAGER,"Working under the
direction of the bureau
of legal affairs",Working under the direction of the bureau of legal affairs.,"['working', 'conditions', 'i++', 'i--', '-conditions', 'under', 'the', 'i++', 'direction', 'of', 'the', 'highest', 'i++', 'quality', '-quality', 'i--', '-highest', 'tracking', 'i++', 'systems', 'and', 'vault', '-vault', '-and', 'at', '-at', '-systems', 'i--', '-tracking', 'bureau', 'i++', 'of', 'legal', 'affairs', 'i++']"
ASSOCIATE PROJECT MANAGER,"Experience with
preparation of budgets
and cost estimates",Experience with preparation of budgets and cost estimates.,"['experience', 'with', 'i++', 'preparation', 'of', 'a', 'new', 'i++', 'i--', '-new', 'team', 'i++', 'and', 'be', 'able', '-able', '-be', '-and', 'i--', '-team', 'group', 'i++', 'of', '-of', 'i--', '-group', '-a', 'budgets', 'i++', 'and', 'cost', 'estimates', 'i++']"
ASSOCIATE PROJECT MANAGER,"Ensure conformance
with the review and approve
construction schedules",Ensure conformance with the review and approve construction schedules.,"['ensure', 'conformance', 'i++', 'with', 'the', 'review', 'and', 'approve', 'i++', 'consultant', '-consultant', 'complex', 'contract', '-contract', '-complex', 'consultant', '-consultant', 'i--', '-approve', 'manage', 'i++', 'both', 'consultant', '-consultant', '-both', 'i--', '-manage', 'approve', 'i++', 'construction', 'schedules', 'i++']"
ASSOCIATE PROJECT MANAGER,"Significant work
experience in design
and or expansions",Significant work experience in design and or expansions.,"['significant', 'work', 'i++', 'experience', 'in', 'design', 'i++', 'and', 'or', 'expansions', 'i++']"
SENIOR MENTAL HEALTH WORKER,"Bureau of mental
health is responsible for
mental health programs",Bureau Of Mental Health is responsible for mental health programs.,"['bureau', 'of', 'mental', 'i++', 'health', 'is', 'responsible', 'for', 'i++', 'mental', 'health', 'programs', 'i++']"
ASSOCIATE PUBLIC HEALTH SANITA,"Duties will include
but not be limited to
the tracking systems",Duties will include but not be limited to the tracking systems.,"['duties', 'will', 'include', 'i++', 'but', 'not', 'limited', 'to', 'the', 'i++', 'treatment', 'of', '-of', '-treatment', 'i--', '-the', '-to', '-limited', 'be', 'limited', 'to', 'i++', 'the', 'tracking', 'systems', 'i++']"
ASSOCIATE PUBLIC HEALTH SANITA,"Working knowledge of
federal state and city
council officials",Working knowledge of federal state and city council officials.,"['working', 'knowledge', 'of', 'i++', 'federal', 'state', 'and', 'local', 'i++', 'i--', '-local', 'city', 'i++', 'council', 'officials', 'i++']"
ASSOCIATE PUBLIC HEALTH SANITA,"Create indexing
zones and routes and assign work
to inspection staff",Create indexing zones and routes and assign work to inspection staff.,"['create', 'indexing', 'i++', 'zones', 'and', 'routes', 'and', 'assign', 'work', 'i++', 'to', 'inspection', 'staff', 'i++']"
ASSOCIATE PUBLIC HEALTH SANITA,"Good working knowledge
of microsoft access word
excel power point",Good working knowledge of Microsoft Access Word Excel Power Point.,"['good', 'working', 'knowledge', 'i++', 'of', 'microsoft', 'access', 'word', 'i++', 'excel', 'power', 'point', 'i++']"
ARCHITECT,"Work experience
in sustainable design
and construction work",Work experience in sustainable design and construction work.,"['work', 'experience', 'i++', 'in', 'sustainable', 'design', 'i++', 'and', 'construction', 'work', 'i++']"
